,序号,姓名,所属公司,现任基金,累计从业时间,现任基金最佳回报,现任基金资产总规模
0,1,艾定飞,华商基金,"华商电子行业量化股票,华商计算机行业量化股票",843,52.74,7.23
1,2,艾小军,国泰基金,"国泰黄金ETF联接A,国泰黄金ETF联接C,国泰量化成长优选混合A,国泰量化成长优选混合C,国泰中证全指通信设备ETF联接A,国泰中证全指通信设备ETF联接C,国泰中证计算机主题ETF联接C,国泰上证180金融ETF联接,国泰策略价值灵活配置混合,国泰中证计算机主题ETF联接A,国泰中证申万证券行业指数,国泰国证航天军工指数,国泰上证180金融ETF,国泰中证军工ETF,国泰中证计算机ETF,国泰CES半导体芯片ETF,国泰中证全指证券公司ETF,国泰中证全指通信设备ETF,国泰黄金ETF",2621,139.92,793.09
2,3,安昀,长信基金,"长信内需成长混合E,长信消费升级混合A,长信消费升级混合C,长信内需成长混合A",2521,141.18,48.11
3,4,彬彬,人保资产,"人保量化混合A,人保量化混合C,人保优势产业混合A,人保优势产业混合C,人保沪深300指数,人保中证500指数",793,53.36,5.23
4,5,包兵华,鹏华基金,"鹏华研究驱动混合,鹏华研究智选混合,鹏华成长智选混合A,鹏华成长智选混合C",698,90.76,148.30
5,6,白冰洋,中银证券,"中银证券价值精选混合,中银证券健康产业混合,中银证券聚瑞混合A,中银证券聚瑞混合C",1612,21.41,1.84
6,7,薄官辉,银华基金,"银华高端制造业混合,银华中国梦30股票,银华兴盛股票,银华消费主题混合,银华优势企业混合",2150,149.04,34.73
7,8,白海峰,招商基金,"招商沪港深科技创新混合A,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接C,招商普盛全球配置(QDII-FOF)人民币,招商普盛全球配置(QDII-FOF)美元现汇,招商普盛全球配置(QDII-FOF)美元现钞,招商沪港深科技创新混合C,招商港股通核心精选股票A,招商港股通核心精选股票C,招商MSCI中国A股国际通ETF",1770,93.96,25.40
8,9,白洁,中银基金,"中银活期宝货币,中银安心回报,中银悦享定期开放债券发起式,中银睿享定开债券,中银丰庆定期开放债券,中银信享定期开放债券,中银稳汇短债债券A,中银稳汇短债债券C,中银产业债债券C,中银添盛39个月定期开放债券,中银欣享利率债,中银稳汇短债债券E,中银产业债债券A",3654,44.32,1125.49
9,10,毕凯,南方基金,"南方沪港深核心优势混合,南方香港优选股票",1302,75.58,6.24
10,11,毕凯,光大保德信基金,"光大尊丰纯债定开债,光大裕鑫混合A,光大裕鑫混合C,光大尊裕纯债一年定开债",216,1.57,19.99
11,12,毕天宇,富国基金,"富国高端制造行业股票,富国龙头优势混合,富国天博创新主题混合",5591,312.02,65.25
12,13,鲍无可,景顺长城基金,"景顺长城沪港深精选股票,景顺长城价值边际灵活配置混合,景顺长城价值稳进定开混合,景顺长城价值领航混合,景顺长城能源基建混合",2456,228.13,87.84
13,14,贲兴振,银华基金,"银华混改红利灵活配置混合发起式,银华行业轮动混合,银华稳健增长一年持有期混合,银华优质增长混合",2882,144.17,67.08
14,15,卞亚军,同泰基金,"同泰远见混合A,同泰远见混合C,同泰竞争优势混合A,同泰竞争优势混合C,同泰大健康主题混合A,同泰大健康主题混合C",1546,-6.65,2.90
15,16,毕子男,华融基金,华融新利灵活配置混合,15,-0.91,0.04
16,17,蔡宾,长盛基金,"长盛稳怡添利债券A,长盛稳怡添利债券C",4248,13.78,0.32
17,18,陈斌,华夏基金,"华夏医疗健康混合A,华夏医疗健康混合C,华夏乐享健康混合,华夏逸享健康混合",2236,142.00,39.62
